"","mds_1","mds_2","mds_3","mds_4"
"AS_EM",0.0778437102503402,-0.0227044434296998,-0.116468628105459,-0.366088284020314
"AS_LC",0.305968854934999,0.368791930942086,-0.0564614342627911,-0.433273912961762
"AS_LX",0.329885424539634,0.0650532158909951,-0.118711148650759,-0.1723555194062
"AS_TE",0.517990899089362,0.264342261652202,-0.0781733473250549,-0.106459037912212
"AS_PA",0.632735708311275,-0.239491717524891,0.129463184444399,-0.140593116249953
"AS_RL",0.114865438668054,0.122274562852347,0.459165726856629,0.0188131406506628
"AS_CS",0.0895758134529521,0.104902772649336,0.184921201868222,0.410977474465397
"AS_DM",0.182362949190445,0.168691605612316,-0.130483511998778,0.125102263562315
"AS_VD",-0.107253189514049,-0.158989918147979,-0.318584573904627,0.158964766703978
"AS_RD",0.0723954074068129,-0.0951270671139486,-0.298255862526025,0.220782908538573
"AS_TR",0.229533367507976,-0.103990892308185,-0.158624800236559,0.57569380911625
"CH_CM",-0.734236924349947,-0.519605683077204,0.138304405376325,0.0883994893684752
"CH_PA",0.580042671707898,0.553294375254845,-0.122080308263912,-0.130229319842583
"CH_PT",0.662470585732316,0.426967205301756,-0.115002273734817,-0.151735662905122
"CH_QT",0.652223259485729,0.562772317642263,-0.180548749026321,-0.166705821047039
"CH_FM",0.899843987165402,0.275180980411337,0.0157262901042387,-0.0242568009605556
"CH_IE",0.480489047868076,0.178684924048027,0.619701746815977,0.226520087100959
"CH_IJ",0.779423171583548,0.271267882889427,0.199126878802854,0.0137607965474333
"CH_DL",-0.17983269072432,0.156069928050208,0.115578940315623,0.347374303457105
"CH_SB",0.271440306956071,-0.0144387563136697,-0.0373671632580414,-0.094710230008882
"ED_AE",0.232576741639981,-0.477908601211196,0.12217744052464,0.212094171630279
"ED_E1",0.0736330927929301,0.0964669426439953,0.191190619617751,0.120874909076627
"ED_E2",0.850887234821523,-0.0905903738797188,-0.141693917232056,-0.0629462985159921
"ED_IO",-0.199504303247081,0.0250160949505704,0.0318829360386806,-0.0808517321838566
"ED_UF",0.456227439069784,-0.366359864632197,0.238954422137881,0.237608431416354
"ED_UM",0.601187370716222,0.22954703991064,-0.15410382527541,0.168036480868041
"ED_CI",0.511371435667567,-0.477374543462657,0.0476616332221393,0.119833487746452
"EP_EJ",-0.177756602768661,0.190146963202779,-0.203241878313445,0.452842634754487
"EP_EP",0.588182385382549,-0.368133124481646,0.00224159801606679,-0.0662848930773373
"EP_JP",0.457732174175211,-0.502704107321769,0.00831045376799882,-0.108491421349247
"EP_LP",0.672476115587285,-0.547048774157233,-0.0306827813671741,0.00549545651353917
"EP_IT",0.100158333928669,0.0692015728693698,0.177851656031653,-0.0556897447387995
"EP_QI",-0.0084702197299384,-0.33976895354656,0.123298267581392,0.0858814066689196
"EP_PJ",0.406280931302424,0.115367661506257,-0.155512668425509,0.00829566224462787
"EP_SG",0.144218588958067,-0.240494349824471,0.173128491131595,0.33454051011018
"EP_PS",0.216307594608192,-0.0222157582711436,0.374578184604558,0.0182291426929113
"EP_EG",0.145005782949858,0.0460433864372807,-0.66491640585029,-0.0747768209498206
"EP_GE",-0.0515058721569226,0.218058652203989,-0.412072673545429,-0.0166722294802089
"IF_AT_FI",0.865558787258282,0.228791734957106,-0.0379680842421328,-0.083659679590349
"IF_QT",0.347141001401414,-0.199544299607251,0.0707157267778479,0.0247070494790252
"IF_CR",0.440599997821447,-0.112007095971672,-0.0207768109363336,0.0400263470888242
"IF_CS",-0.474801641531223,0.201292906032874,-0.0327411950211205,0.180561873870129
"IF_DV",0.598786338795665,-0.0561066071601771,-0.322916556751516,-0.00684072783646497
"IF_EL_FI",0.462641589535546,-0.126766966105452,0.0661046561852915,-0.0398470852502383
"IF_I1",-0.127864880725232,0.31296933096333,-0.115229999448916,0.0189376523352103
"IF_I2",0.295807421506429,-0.54465272782197,0.0200149197057436,-0.0786694797240913
"IF_QR",0.529540552337759,-0.0160687403457736,-0.215324491645908,0.0808607224598637
"IF_FO",0.405508106663319,0.0144602280680884,-0.177533690356312,0.168067402709531
"IN_IF",0.0704961794104391,-0.180362406894554,-0.549111603038034,0.0820496282372474
"IN_PF",0.773372972110991,-0.113784792141898,-0.0464921114594369,-0.0624353393541826
"IN_BC",0.254869451110555,-0.338581799001822,-0.0257933145554562,-0.0838572173397376
"IN_IN",0.35523168440634,0.286080416433683,0.345636189892424,-0.0335217196014974
"IN_PC",-0.0407177334664843,-0.144362881298608,0.224369638634947,0.146477676149138
"PM_PB_TM",0.63334878479427,-0.0799948384360896,-0.279594192284251,0.0118580571001567
"PM_PB_TX",-0.0497883402714027,0.342518451821996,0.350633363147662,0.0657742242476229
"PM_FT",-0.558015861019355,0.65214788247731,-0.082535142669275,0.0796393507658532
"PM_CR",-0.423281137953647,-0.222566130707785,-0.207456058601073,-0.140140930085319
