"AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN"
46.2,44.2,72,9.4,31.1,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,81.8,20.3,12.9,14.6,100,65,0,12,0,48.1,29.4,65.5,61.8,28.7,51,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,17.9,29.9,0,100,0.4,0,31.5,60.7,0,61.4385185185185,1.1,0,75.6,44.422962962963
62.7,37.5,44.8,16.5,62.1,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,97,14.5,10.1,3.2,100,31.1,20.3,21,45.5,20.6,53.3,11.9,81.3,63.9,81.3,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,13.3,87.8,68.8,37.3,2.6,92.4,53,65.5,75.4,61.4385185185185,4.5,4.3,82.6,44.422962962963
82.1,6.1,63.9,39.4,13.1,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,79.3,25.1,21.8,37.1,80,41.8,4.6,16,12.1,42.6,12,0,93.5,83.3,82.5,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,11.9,25.9,67.4,40.7,4.5,59.5,43.6,97.8,6.8,61.4385185185185,15.4,17.8,59.8,44.422962962963
93,60,64.8,5.6,18.7,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,62.1,36.3,12.7,52.3,0,0,7.2,24,3,28.2,0,77.6,43.1,7,46.7,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,14,21,43.3,92,0.6,88,81.3,75,25.9,61.4385185185185,2.4,0,47.2,44.422962962963
57.3,32.5,36.8,52.3,78.8,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,92.5,8.9,6.9,14.3,0,7.1,39.2,25,45.5,15.1,67.3,33.5,92.9,72.7,88.3,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,16.4,72.6,79,58,16.2,74.9,58.1,81,44.2,61.4385185185185,28.2,13.5,6.8,44.422962962963
60.9,45.2,44.4,35.1,60.9,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,95.1,14.6,5.2,23.7,100,84.2,49.6,6,63.6,55.3,80,17.5,87.8,80.7,86.2,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,25.7,84.8,60.5,79.5,8.9,95.6,33.3,97.8,51.1,61.4385185185185,21.2,23.6,28.2,44.422962962963
64.7,100,68.4,100,84.9,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,0,100,100,100,0,82.8,89.5,4,57.6,61.2,38,67.5,85.9,0,90.9,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,100,64.6,63.5,33.7,25.9,100,51.5,89.8,75,61.4385185185185,3.2,17.5,40.2,44.422962962963
56.8,44.2,100,43.1,75.1,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,70.4,32.9,25.2,45.2,100,77.3,83.9,9,78.8,45.7,73.7,32.6,97.7,83.3,93.6,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,24.9,58.8,70.6,79.5,5.2,97.3,23.3,95.6,38.3,61.4385185185185,13.6,35.4,11.4,44.422962962963
59.9,41.2,67.3,50.4,100,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,70.2,26.1,19,43.6,100,91.4,67.6,7,45.5,58.8,38.2,26.9,81.3,88.4,91.2,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,46.4,78.4,71.3,17.9,5.7,89.3,43.8,46.9,47.2,61.4385185185185,15.2,8.9,36.6,44.422962962963
48.9,18.6,9.6,4.6,31.8,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,100,5.2,1.6,4.9,10,11.1,6.1,26,51.5,33.7,67,37.3,82.8,58.4,78.3,72.9844444444444,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,0,0,85.9,73.6,3.1,83.4,34.9,99.4,26.3,61.4385185185185,12.6,2.3,14.8,44.422962962963
