"AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","CH_FM","CH_IE","CH_IJ","CH_DL","CH_SB","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN","IN_PC","IN_TC","IN_AC","PM_PB_TM","PM_PB_TX","PM_FT","PM_CR","PM_QC","PM_VC","PM_IN","SF_CI","SF_RO","SF_SF","SF_SO","SF_AU","SF_RP","SF_GP","SF_IL","SF_PC","SP_JC","SP_SC","SP_CC","SP_IH","SP_MT","SP_MO","SP_SG","SP_SP","SP_QI","SP_VS","SS_AM","SS_BE","SS_DS","SS_DS_AG","SS_DS_ES","SS_EV","SS_FM","SS_IE","SS_IH","SS_IJ","SS_MA","SS_MP","SS_SI","SS_DI","SS_OI","SS_CV","SS_ER","SS_TI","SS_TE","...101"
46.2,44.2,72,9.4,31.1,37.6,79,0,0,57.4,0,81.8,20.3,12.9,14.6,17,52.4,7.8,88,95.9,100,65,0,12,0,48.1,29.4,65.5,61.8,28.7,51,15.3,29.8,0,0,100,0,0,17.9,29.9,0,100,0.4,0,31.5,60.7,0,0,1.1,0,75.6,55,75.8,NA,NA,0.1,51.2,82.2,40,100,100,18.7,42.2,26.6,75.2,81.5,1.9,70.7,59.1,83.2,47.4,25.8,56.7,23.3,87.7,87.1,100,7.2,38.3,57.5,87,15,13.2,35.1,14.8,31,26.7,17,52.4,21.6,7.8,51.7,23.4,42.2,100,91.1,8.2,7.1,98.3,32.3,NA
62.7,37.5,44.8,16.5,62.1,90.7,79,99.9,100,0,37.5,97,14.5,10.1,3.2,39.2,25.7,0,85,95.9,100,31.1,20.3,21,45.5,20.6,53.3,11.9,81.3,63.9,81.3,99.5,0,14.7,0,75.7,100,97.5,13.3,87.8,68.8,37.3,2.6,92.4,53,65.5,75.4,100,4.5,4.3,82.6,23.8,0,NA,NA,1.7,24.9,34.9,94.4,59.4,23.2,85.2,66.6,93.4,66.3,76.4,38.4,88,38.9,0,100,19.3,64,30.8,100,71.7,99.7,19.4,70.1,100,87,0,26.8,69.1,63.4,35.2,61.8,39.2,25.7,0,0,98.9,21.2,57.2,63.5,91.1,100,7.1,74.5,9.8,NA
82.1,6.1,63.9,39.4,13.1,54.3,84.5,99.9,99.6,55.5,0,79.3,25.1,21.8,37.1,12.8,42.4,25.9,19.3,94.3,80,41.8,4.6,16,12.1,42.6,12,0,93.5,83.3,82.5,100,29.8,2.1,0,77.9,100,100,11.9,25.9,67.4,40.7,4.5,59.5,43.6,97.8,6.8,46.9,15.4,17.8,59.8,71.3,31.3,NA,NA,3.9,16.4,77.4,92.5,15.6,100,57.9,29.9,35.2,88.8,73.3,59.9,83.7,47.7,0,77.2,19.5,12.6,40.9,99.3,100,88.6,64.1,24.4,54.8,49,19.1,40.3,13.1,58.4,33.1,23.5,12.8,42.4,29.9,25.9,29.9,47.8,27.3,100,100,90.9,100,50.7,100,NA
93,60,64.8,5.6,18.7,43.3,100,99.9,34.6,57.4,0,62.1,36.3,12.7,52.3,18,0,5.4,19.3,65.3,0,0,7.2,24,3,28.2,0,77.6,43.1,7,46.7,99.5,0,26,16.4,85.1,96.1,100,14,21,43.3,92,0.6,88,81.3,75,25.9,100,2.4,0,47.2,0,17.3,NA,NA,0.2,13.9,100,66.5,0,100,57.9,8.7,3.2,99.6,0,0,100,30.2,100,46.1,38.6,73.6,52.2,96.8,98.3,99.9,24.7,71.9,50.7,55.8,98,55.5,29.3,20.3,2.3,0,18,0,34.1,5.4,62.4,41.3,0,35.5,66.8,6.3,100,74.5,98.6,NA
57.3,32.5,36.8,52.3,78.8,44.9,100,99.9,74.5,0,100,92.5,8.9,6.9,14.3,24,29.9,30.3,84.2,16.9,0,7.1,39.2,25,45.5,15.1,67.3,33.5,92.9,72.7,88.3,99.5,100,100,100,100,94.7,100,16.4,72.6,79,58,16.2,74.9,58.1,81,44.2,100,28.2,13.5,6.8,15.8,73.3,NA,NA,11.6,14.8,22.9,69.2,0,0,44.2,63.5,100,80.6,73.1,63,48.4,26.9,0,46.5,0.2,17.2,69.8,0,82,67.3,40.1,77.8,51.6,100,15,23.7,0,77.1,55.7,67.6,24,29.9,18.6,30.3,62.5,21.2,53.3,0,4.6,100,7.8,36.3,98.6,NA
60.9,45.2,44.4,35.1,60.9,98.4,84.5,100,34.6,0.4,0,95.1,14.6,5.2,23.7,23.1,61.9,22.9,14.4,97.2,100,84.2,49.6,6,63.6,55.3,80,17.5,87.8,80.7,86.2,51.5,87.4,63.5,100,100,3.9,0,25.7,84.8,60.5,79.5,8.9,95.6,33.3,97.8,51.1,0,21.2,23.6,28.2,56.4,73.3,NA,NA,6.1,43.6,34.9,41.1,15.6,23.2,18.7,100,69.1,85,58.5,55.3,57,52.6,47.9,88.4,26.7,22.3,40.3,36.7,73.8,36,15.6,71.5,76.8,87.1,19.9,42.9,24.6,67,42.8,75.5,23.1,61.9,31.1,22.9,57.5,5.6,62.3,65.4,100,0,0,98.3,97.3,NA
64.7,100,68.4,100,84.9,0,0,100,34.6,100,0,0,100,100,100,82.7,44.1,98.2,21.5,53.9,0,82.8,89.5,4,57.6,61.2,38,67.5,85.9,0,90.9,100,41.8,100,0,77.9,63.7,100,100,64.6,63.5,33.7,25.9,100,51.5,89.8,75,10.3,3.2,17.5,40.2,66.5,31.6,NA,NA,10.6,48.7,69.8,40,59.4,100,18.7,14,44.7,89.6,15.5,100,45.2,61.9,46.7,60.3,51.8,80.6,32.7,99.3,96,61,86.9,63.3,64.8,49,0,94.2,10.5,94.3,92.3,66.8,82.7,44.1,100,98.2,85.7,84,83.8,42.1,100,6.3,7.8,100,18.4,NA
56.8,44.2,100,43.1,75.1,54.3,79,88.4,100,0.1,100,70.4,32.9,25.2,45.2,59.5,57.5,41.9,88,97.2,100,77.3,83.9,9,78.8,45.7,73.7,32.6,97.7,83.3,93.6,100,0,100,7.7,77.9,0,2.6,24.9,58.8,70.6,79.5,5.2,97.3,23.3,95.6,38.3,8.3,13.6,35.4,11.4,0,17.3,NA,NA,5.2,10.7,35.9,66.5,15.6,68.3,14.8,20.5,36.4,95.8,55.4,57.9,75.7,41.7,100,24.1,46.2,43.7,75.5,61.9,54.3,84.2,53.5,66.7,80.8,100,97,75,59.7,78.4,82.3,78.9,59.5,57.5,53.3,41.9,65.3,40.3,85,24.7,100,97.6,100,0,97.3,NA
59.9,41.2,67.3,50.4,100,1.4,85.1,79.4,34.6,57.4,100,70.2,26.1,19,43.6,53.7,75.4,68.3,84.2,59,100,91.4,67.6,7,45.5,58.8,38.2,26.9,81.3,88.4,91.2,100,26.5,100,0,85.1,100,100,46.4,78.4,71.3,17.9,5.7,89.3,43.8,46.9,47.2,0,15.2,8.9,36.6,46.9,31.3,NA,NA,8.4,30,49.7,59.2,15.6,68.7,11.3,41.1,0,67.5,76.1,79.1,74.6,71.1,72.2,43,25.1,34.2,52.8,84.4,50.1,99.9,50.1,61.2,75.8,68.6,15,86.2,62.3,79.6,52.5,69.3,53.7,75.4,51.5,68.3,74,37.2,72.5,0,0.6,100,81.9,98.2,98.6,NA
48.9,18.6,9.6,4.6,31.8,28.4,0,99.9,0,100,0,100,5.2,1.6,4.9,0,43.8,1.1,19.3,0,10,11.1,6.1,26,51.5,33.7,67,37.3,82.8,58.4,78.3,100,100,84.4,0,100,100,97.5,0,0,85.9,73.6,3.1,83.4,34.9,99.4,26.3,10.3,12.6,2.3,14.8,23.8,31.6,NA,NA,3.4,31.3,48.2,88.4,0,34.9,18.7,74.5,100,85.8,59.6,33.7,18.3,40.3,0,29.2,10,30.3,77.4,92.7,64.2,99.7,67.5,83.6,84.9,92.6,15,0,28.3,50.5,12.6,52.8,0,43.8,2.4,1.1,13.7,64.2,39.3,87.8,100,100,7.8,50.7,97.3,NA
