"Estado","Tipo","Ano","AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN","IN_PC","PM_PB_TM","PM_PB_TX","PM_FT","SF_CI","SF_RO","SF_SF","SF_SO","SF_AU","SF_RP","SF_GP","SF_IL","SF_PC","SP_JC","SP_SC","SP_CC","SP_IH","SP_MT","SP_MO","SP_SG","SP_SP","SP_QI","SS_AM","SS_BE","SS_DS","SS_DS_AG","SS_DS_ES","SS_EV","SS_FM","SS_IE","SS_IH","SS_IJ","SS_MA","SS_MP","SS_SI","SS_DI","SS_OI","SS_CV","SS_ER","V1","V2","V3"
"Acre","Normalizados",2017,46.2,44.2,72,9.4,31.1,NA,NA,NA,NA,NA,NA,81.8,20.3,12.9,14.6,100,65,0,12,0,48.1,29.4,65.5,61.8,28.7,51,NA,NA,NA,NA,NA,NA,NA,17.9,29.9,0,100,0.4,0,31.5,60.7,0,NA,1.1,0,75.6,NA,NA,0.1,51.2,82.2,42.2,NA,75.2,81.5,1.9,70.7,NA,NA,NA,25.8,56.7,23.3,87.7,87.1,NA,7.2,38.3,57.5,NA,13.2,35.1,14.8,31,26.7,17,52.4,21.6,7.8,51.7,23.4,42.2,NA,NA,NA,NA,11.5050298179512,35.5031468707285,38.7446945212454
"Alagoas","Normalizados",2017,62.7,37.5,44.8,16.5,62.1,NA,NA,NA,NA,NA,NA,97,14.5,10.1,3.2,100,31.1,20.3,21,45.5,20.6,53.3,11.9,81.3,63.9,81.3,NA,NA,NA,NA,NA,NA,NA,13.3,87.8,68.8,37.3,2.6,92.4,53,65.5,75.4,NA,4.5,4.3,82.6,NA,NA,1.7,24.9,34.9,66.6,NA,66.3,76.4,38.4,88,NA,NA,NA,19.3,64,30.8,100,71.7,NA,19.4,70.1,100,NA,26.8,69.1,63.4,35.2,61.8,39.2,25.7,0,0,98.9,21.2,57.2,NA,NA,NA,NA,33.6075441014345,13.4031347046006,32.9867612157236
"Amazonas","Normalizados",2017,82.1,6.1,63.9,39.4,13.1,NA,NA,NA,NA,NA,NA,79.3,25.1,21.8,37.1,80,41.8,4.6,16,12.1,42.6,12,0,93.5,83.3,82.5,NA,NA,NA,NA,NA,NA,NA,11.9,25.9,67.4,40.7,4.5,59.5,43.6,97.8,6.8,NA,15.4,17.8,59.8,NA,NA,3.9,16.4,77.4,29.9,NA,88.8,73.3,59.9,83.7,NA,NA,NA,19.5,12.6,40.9,99.3,100,NA,64.1,24.4,54.8,NA,40.3,13.1,58.4,33.1,23.5,12.8,42.4,29.9,25.9,29.9,47.8,27.3,NA,NA,NA,NA,29.3739988607374,26.105702193318,67.916292909606
"Amapá","Normalizados",2017,93,60,64.8,5.6,18.7,NA,NA,NA,NA,NA,NA,62.1,36.3,12.7,52.3,0,0,7.2,24,3,28.2,0,77.6,43.1,7,46.7,NA,NA,NA,NA,NA,NA,NA,14,21,43.3,92,0.6,88,81.3,75,25.9,NA,2.4,0,47.2,NA,NA,0.2,13.9,100,8.7,NA,99.6,0,0,100,NA,NA,NA,38.6,73.6,52.2,96.8,98.3,NA,24.7,71.9,50.7,NA,55.5,29.3,20.3,2.3,0,18,0,34.1,5.4,62.4,41.3,0,NA,NA,NA,NA,7.60334602881122,74.4352969441885,61.2535295595566
"Bahia","Normalizados",2017,57.3,32.5,36.8,52.3,78.8,NA,NA,NA,NA,NA,NA,92.5,8.9,6.9,14.3,0,7.1,39.2,25,45.5,15.1,67.3,33.5,92.9,72.7,88.3,NA,NA,NA,NA,NA,NA,NA,16.4,72.6,79,58,16.2,74.9,58.1,81,44.2,NA,28.2,13.5,6.8,NA,NA,11.6,14.8,22.9,63.5,NA,80.6,73.1,63,48.4,NA,NA,NA,0.2,17.2,69.8,0,82,NA,40.1,77.8,51.6,NA,23.7,0,77.1,55.7,67.6,24,29.9,18.6,30.3,62.5,21.2,53.3,NA,NA,NA,NA,31.0891874891505,33.9619412700811,74.5952389560193
"Ceará","Normalizados",2017,60.9,45.2,44.4,35.1,60.9,NA,NA,NA,NA,NA,NA,95.1,14.6,5.2,23.7,100,84.2,49.6,6,63.6,55.3,80,17.5,87.8,80.7,86.2,NA,NA,NA,NA,NA,NA,NA,25.7,84.8,60.5,79.5,8.9,95.6,33.3,97.8,51.1,NA,21.2,23.6,28.2,NA,NA,6.1,43.6,34.9,100,NA,85,58.5,55.3,57,NA,NA,NA,26.7,22.3,40.3,36.7,73.8,NA,15.6,71.5,76.8,NA,42.9,24.6,67,42.8,75.5,23.1,61.9,31.1,22.9,57.5,5.6,62.3,NA,NA,NA,NA,46.1338717515866,12.9243328378912,36.2832053127109
"Distrito Federal","Normalizados",2017,64.7,100,68.4,100,84.9,NA,NA,NA,NA,NA,NA,0,100,100,100,0,82.8,89.5,4,57.6,61.2,38,67.5,85.9,0,90.9,NA,NA,NA,NA,NA,NA,NA,100,64.6,63.5,33.7,25.9,100,51.5,89.8,75,NA,3.2,17.5,40.2,NA,NA,10.6,48.7,69.8,14,NA,89.6,15.5,100,45.2,NA,NA,NA,51.8,80.6,32.7,99.3,96,NA,86.9,63.3,64.8,NA,94.2,10.5,94.3,92.3,66.8,82.7,44.1,100,98.2,85.7,84,83.8,NA,NA,NA,NA,72.7146744283231,100,43.1426363230398
"Espírito Santo","Normalizados",2017,56.8,44.2,100,43.1,75.1,NA,NA,NA,NA,NA,NA,70.4,32.9,25.2,45.2,100,77.3,83.9,9,78.8,45.7,73.7,32.6,97.7,83.3,93.6,NA,NA,NA,NA,NA,NA,NA,24.9,58.8,70.6,79.5,5.2,97.3,23.3,95.6,38.3,NA,13.6,35.4,11.4,NA,NA,5.2,10.7,35.9,20.5,NA,95.8,55.4,57.9,75.7,NA,NA,NA,46.2,43.7,75.5,61.9,54.3,NA,53.5,66.7,80.8,NA,75,59.7,78.4,82.3,78.9,59.5,57.5,53.3,41.9,65.3,40.3,85,NA,NA,NA,NA,56.9109881878283,21.3196080152978,43.5686084743816
"Goiás","Normalizados",2017,59.9,41.2,67.3,50.4,100,NA,NA,NA,NA,NA,NA,70.2,26.1,19,43.6,100,91.4,67.6,7,45.5,58.8,38.2,26.9,81.3,88.4,91.2,NA,NA,NA,NA,NA,NA,NA,46.4,78.4,71.3,17.9,5.7,89.3,43.8,46.9,47.2,NA,15.2,8.9,36.6,NA,NA,8.4,30,49.7,41.1,NA,67.5,76.1,79.1,74.6,NA,NA,NA,25.1,34.2,52.8,84.4,50.1,NA,50.1,61.2,75.8,NA,86.2,62.3,79.6,52.5,69.3,53.7,75.4,51.5,68.3,74,37.2,72.5,NA,NA,NA,NA,55.4369490417152,28.8652453948035,30.5099170232988
"Maranhão","Normalizados",2017,48.9,18.6,9.6,4.6,31.8,NA,NA,NA,NA,NA,NA,100,5.2,1.6,4.9,10,11.1,6.1,26,51.5,33.7,67,37.3,82.8,58.4,78.3,NA,NA,NA,NA,NA,NA,NA,0,0,85.9,73.6,3.1,83.4,34.9,99.4,26.3,NA,12.6,2.3,14.8,NA,NA,3.4,31.3,48.2,74.5,NA,85.8,59.6,33.7,18.3,NA,NA,NA,10,30.3,77.4,92.7,64.2,NA,67.5,83.6,84.9,NA,0,28.3,50.5,12.6,52.8,0,43.8,2.4,1.1,13.7,64.2,39.3,NA,NA,NA,NA,12.1345776029085,27.3858191631069,87.9138239883085
"Minas Gerais","Normalizados",2017,58,49.6,85.1,40.4,81.2,NA,NA,NA,NA,NA,NA,76.6,26.7,18,40.2,100,78.2,95.9,2,90.9,78,68.8,38.3,96.1,85.6,93.8,NA,NA,NA,NA,NA,NA,NA,36.4,70.4,78.2,78,23.2,97.8,14,92.1,40.7,NA,21.1,44,53.2,NA,NA,26,8,17.9,4.6,NA,31.7,72.6,83.8,20.5,NA,NA,NA,49.4,30.9,64.2,9.9,73.7,NA,84.5,90.7,60.3,NA,80.6,57.1,85.6,87.9,91.9,63.2,65.1,62.3,68.7,88.7,76.1,80.2,NA,NA,NA,NA,62.6664580373981,17.5904690590791,45.9897427586812
"Mato Grosso do Sul","Normalizados",2017,56.7,56.7,73.5,45.1,87.3,NA,NA,NA,NA,NA,NA,65.5,34.9,28.7,40.6,50,63.8,51.7,13,87.9,30.9,68.2,23.4,84.8,69.6,85.5,NA,NA,NA,NA,NA,NA,NA,52,69.5,61.6,35,2.9,97,34.5,93.8,50.5,NA,12,8.7,44.4,NA,NA,3.7,54.2,44.4,79.3,NA,73.5,54.1,64.6,0,NA,NA,NA,96.4,78,56,78.5,55.9,NA,82.4,97.2,30.6,NA,92.4,62.3,83,38.6,77.8,65.1,91.8,49.7,83.2,68.9,70.9,88.7,NA,NA,NA,NA,51.5445327043618,33.9681557949255,51.8764853704157
