"","mds_1","mds_2","mds_3","mds_4"
"AS_EM",0.00707118264816353,0.854734699865001,2.96181302086307e-05,0.175578491198026
"AS_LC",3.35392693506797e-06,0.00234809196338315,0.000776080006138269,0.00136222048193146
"AS_LX",1.33595086104776e-08,0.0274426679474919,0.993522889740649,0.0075276807574951
"AS_TE",5.89266924144738e-09,5.82041798313782e-07,0.000218901264210869,0.0127002337630833
"AS_PA",3.99680288865056e-15,0.000216667875657217,0.93723020546422,0.409340079094894
"AS_RL",0.20826451526495,7.99601296219699e-05,4.56452482477943e-08,1.32560629140244e-13
"AS_CS",0.00644026049603053,0.00204881088770348,0.0302942861202629,0.788835878968237
"AS_DM",0.57805318739561,0.126619800594538,8.7572615825593e-11,0.0341394553129046
"AS_VD",0.485027792017934,0.243933429923183,0,0.0587181888398205
"AS_RD",0.242378817733153,0.34539224810496,0.870723346715585,3.25627407038453e-06
"AS_TR",0.00160914803501755,0.258614714595701,0.307856164125933,0.387563471395726
"AS_PV",0.603184774248341,2.25680389931426e-07,0.527827518025877,0.0102841545900125
"AS_VN",0.0336536567469503,2.31196630728903e-08,0.400120896563132,0.940732270788605
"CH_CM",0,1.3144596522352e-10,0.257635978309614,0.0408838093670139
"CH_PA",2.39808173319034e-14,1.96287430753728e-13,0.139026421071361,0.00337962189712115
"CH_PT",0,2.77803363424312e-07,0.338301963773326,0.0141200650500104
"CH_QT",0,2.50022225145585e-12,0.039418766827378,0.0122419778986287
"CH_FM",0,0.00124571208165869,0.668557640524124,0.578372472817474
"CH_IE",1.15893961094571e-11,0.0221136882851614,3.75019060250281e-09,8.47597547704027e-11
"CH_IJ",0,6.3331377768705e-06,0.0480815526278451,0.0119381558262455
"CH_DL",0.253028470875002,0.203159623781233,0.000323239609606674,0.00739533268928749
"CH_SB",0.139827468712853,0.0383150094578291,0.436237597299745,0.0374683563882989
"ED_AE",0.00476915641103526,4.46170944634616e-08,0.0838545893578748,0.151663330520608
"ED_E1",8.52831835196355e-06,0.48281863009435,0.028625004063022,0.775201896796681
